UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3396380,02/28/2016,18:35,STATEN ISLAND,10306.0,40.5732096,-74.1200469,"(40.5732096, -74.1200469)",ROSS AVENUE,3 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
3396782,02/28/2016,17:55,QUEENS,11379.0,40.718908299999995,-73.8853183,"(40.7189083, -73.8853183)",LUTHERAN AVENUE,71 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3396611,02/28/2016,18:30,BROOKLYN,11219.0,40.6355816,-73.9915402,"(40.6355816, -73.9915402)",48 STREET,13 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
3395971,02/28/2016,18:30,BRONX,10456.0,40.8387216,-73.91377059999999,"(40.8387216, -73.9137706)",EAST 170 STREET,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3395885,02/28/2016,18:27,MANHATTAN,10075.0,40.774283399999995,-73.9572953,"(40.7742834, -73.9572953)",EAST 79 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,TAXI,PASSENGER VEHICLE,,,
3395904,02/28/2016,18:23,MANHATTAN,10035.0,40.7998915,-73.9385839,"(40.7998915, -73.9385839)",EAST 119 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,OTHER,PASSENGER VEHICLE,,,
3396787,02/28/2016,18:20,QUEENS,11379.0,40.713289,-73.8716171,"(40.713289, -73.8716171)",METROPOLITAN AVENUE,80 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
3395868,02/28/2016,18:20,MANHATTAN,10017.0,40.748799700000006,-73.96984599999999,"(40.7487997, -73.969846)",EAST 42 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3396603,02/28/2016,18:20,BROOKLYN,11214.0,40.599334000000006,-73.99410870000001,"(40.599334, -73.9941087)",BENSON AVENUE,BAY 32 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3395824,02/28/2016,18:15,MANHATTAN,10012.0,40.7281932,-73.9955911,"(40.7281932, -73.9955911)",WEST 3 STREET,MERCER STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,UNKNOWN,BICYCLE,,,
